EmpleadoId;Fecha;Entrada;Salida
4296862;08/12/2020;08/12/2020 08:37;
4296862;09/12/2020;;
4296862;10/12/2020;;
4296862;11/12/2020;;
4296862;12/12/2020;;
4296862;13/12/2020;;
4296862;14/12/2020;;
4296862;15/12/2020;;
4296862;16/12/2020;;
4296862;17/12/2020;;
4296862;18/12/2020;;
4296862;19/12/2020;;
4296862;20/12/2020;;
4296862;21/12/2020;;
4296862;22/12/2020;;
4296862;23/12/2020;;
4296862;24/12/2020;;
4296862;25/12/2020;;
4296862;26/12/2020;;
4296862;27/12/2020;;
4296862;28/12/2020;;
4296862;29/12/2020;;
4296862;30/12/2020;;
4296862;31/12/2020;;
4296862;01/01/2021;;
4296862;02/01/2021;;
4296862;03/01/2021;;
4296862;04/01/2021;04/01/2021 07:24;
4296862;05/01/2021;05/01/2021 07:06;06/01/2021 06:49
4296862;06/01/2021;;
4296862;07/01/2021;;
4296862;08/01/2021;;
4296862;09/01/2021;;
4296862;10/01/2021;;
4296862;11/01/2021;;
4296862;12/01/2021;;
4296862;13/01/2021;;
4296862;14/01/2021;;
4296862;15/01/2021;;
4296862;16/01/2021;;
4296862;17/01/2021;;
4296862;18/01/2021;;
4296862;19/01/2021;;
4296862;20/01/2021;;
4296862;21/01/2021;;
4296862;22/01/2021;;
4296862;23/01/2021;;
4296862;24/01/2021;;
4296862;25/01/2021;;
4296862;26/01/2021;;
4296862;27/01/2021;;
4296862;28/01/2021;;
4296862;29/01/2021;;
4296862;30/01/2021;;
4296862;31/01/2021;;
4296862;01/02/2021;;
4296862;02/02/2021;;
4296862;03/02/2021;;
4296862;04/02/2021;;
4296862;05/02/2021;;
4296862;06/02/2021;;
4296862;07/02/2021;;
4296862;08/02/2021;;
4296862;09/02/2021;;
4296862;10/02/2021;;
4296862;11/02/2021;;
4296862;12/02/2021;;
4296862;13/02/2021;;
4296862;14/02/2021;;
4296862;15/02/2021;;
4296862;16/02/2021;;
4296862;17/02/2021;;
4296862;18/02/2021;;
4296862;19/02/2021;;
4296862;20/02/2021;;
4296862;21/02/2021;;
4296862;22/02/2021;;
4296862;23/02/2021;;
4296862;24/02/2021;;
4296862;25/02/2021;;
4296862;26/02/2021;;
4296862;27/02/2021;;
4296862;28/02/2021;;
